,author_ID,Gender,Repo_name,Commit_datetime,Commit_message,Added,Deleted,Modified,Removed,Day,MSG_LEN,Tag,Message,Tag_type,Message_Type,tagMessageAccuracy,Commit_Type,Commit_Type_2,Project_Type,team_info,count_of_females,count_of_males,predicted_tags
34022,j7jswfg0mj,M,csc216-T-P2-07,2020-10-29 22:36:52,fixed writer test,21.0,0.0,18.0,0.0,3,17.0,Untagged,fixed writer test,Untagged,ImplementationTesting,Untagged,ImplementationTesting,untagged,Team P2,mixed,1,1,[test]
22727,fjxqzfuipg,F,csc216-T-P2-07,2020-11-01 21:31:50,[Debug] Attempting to fix NullPointerException error in SortedList class,2.0,0.0,11.0,0.0,6,72.0,DEBUG, Attempting to fix NullPointerException error in SortedList class,Implementation,Implementation,True,Implementation,debugging,Team P2,mixed,1,1,[debugging]
22726,fjxqzfuipg,F,csc216-T-P2-07,2020-11-01 21:37:37,[Debug] Attempting to fix NullPointerException error in SortedList class,2.0,0.0,12.0,0.0,6,72.0,DEBUG, Attempting to fix NullPointerException error in SortedList class,Implementation,Implementation,True,Implementation,debugging,Team P2,mixed,1,1,[debugging]
22724,fjxqzfuipg,F,csc216-T-P2-07,2020-11-01 21:47:53,[Debug] Attempting to fix error in UniqueList.add(element),2.0,0.0,12.0,0.0,6,58.0,DEBUG, Attempting to fix error in UniqueList.add(element),Implementation,Implementation,True,Implementation,debugging,Team P2,mixed,1,1,[debugging]
22723,fjxqzfuipg,F,csc216-T-P2-07,2020-11-01 21:51:35,[Debug] Added required IllegalArgumentExceptions to UniqueList class,2.0,0.0,12.0,0.0,6,68.0,DEBUG, Added required IllegalArgumentExceptions to UniqueList class,Implementation,Misc,False,Implementation,debugging,Team P2,mixed,1,1,[debugging]
22722,fjxqzfuipg,F,csc216-T-P2-07,2020-11-01 21:53:40,[Debug] Fixed exception message in UniqueList class,2.0,0.0,11.0,0.0,6,51.0,DEBUG, Fixed exception message in UniqueList class,Implementation,Implementation,True,Implementation,debugging,Team P2,mixed,1,1,[debugging]
22721,fjxqzfuipg,F,csc216-T-P2-07,2020-11-01 21:56:08,[Debug] Attempting to fix NullPointerException error in SortedList class,2.0,0.0,11.0,0.0,6,72.0,DEBUG, Attempting to fix NullPointerException error in SortedList class,Implementation,Implementation,True,Implementation,debugging,Team P2,mixed,1,1,[debugging]
22720,fjxqzfuipg,F,csc216-T-P2-07,2020-11-01 22:06:12,[Debug] Attempting to fix NullPointerException error in SortedList class,2.0,0.0,11.0,0.0,6,72.0,DEBUG, Attempting to fix NullPointerException error in SortedList class,Implementation,Implementation,True,Implementation,debugging,Team P2,mixed,1,1,[debugging]
22718,fjxqzfuipg,F,csc216-T-P2-07,2020-11-01 22:10:44,[Debug] Fixed SortedListTest to handle the IllegalArgumentException in SortedList.add(element),2.0,0.0,10.0,0.0,6,94.0,DEBUG, Fixed SortedListTest to handle the IllegalArgumentException in SortedList.add(element),Implementation,ImplementationTesting,True,ImplementationTesting,debugging,Team P2,mixed,1,1,[debugging]
22728,fjxqzfuipg,F,csc216-T-P2-07,2020-11-01 21:11:52,[Debug] Attempting to fix bug in Order.getOrderItemIndexForMenuItem(),2.0,0.0,11.0,0.0,6,69.0,DEBUG, Attempting to fix bug in Order.getOrderItemIndexForMenuItem(),Implementation,Implementation,True,Implementation,debugging,Team P2,mixed,1,1,[debugging]
22717,fjxqzfuipg,F,csc216-T-P2-07,2020-11-01 22:13:23,[Debug] Changed IndexOutOfBoundsException to an IllegalArgumentException in SortedList.remove(),2.0,0.0,10.0,0.0,6,95.0,DEBUG, Changed IndexOutOfBoundsException to an IllegalArgumentException in SortedList.remove(),Implementation,Misc,False,Implementation,debugging,Team P2,mixed,1,1,[debugging]
22716,fjxqzfuipg,F,csc216-T-P2-07,2020-11-01 22:16:09,[Debug] Attempting to fix failing test in SortedList.remove(),2.0,0.0,10.0,0.0,6,61.0,DEBUG, Attempting to fix failing test in SortedList.remove(),Implementation,ImplementationTesting,True,ImplementationTesting,debugging,Team P2,mixed,1,1,[debugging]
22715,fjxqzfuipg,F,csc216-T-P2-07,2020-11-01 22:19:22,[Debug] Removed valid index check in SortedList.remove to see error output for debugging,2.0,0.0,10.0,0.0,6,88.0,DEBUG, Removed valid index check in SortedList.remove to see error output for debugging,Implementation,Implementation,True,Implementation,debugging,Team P2,mixed,1,1,[debugging]
22714,fjxqzfuipg,F,csc216-T-P2-07,2020-11-01 22:29:25,[Debug] Added decrement quantity functionality to Order.remove(),2.0,0.0,10.0,0.0,6,64.0,DEBUG, Added decrement quantity functionality to Order.remove(),Implementation,Misc,False,Implementation,debugging,Team P2,mixed,1,1,[debugging]
22713,fjxqzfuipg,F,csc216-T-P2-07,2020-11-01 22:36:30,[Debug] Fixed local test errors in Order.removeMenuItem(),2.0,0.0,10.0,0.0,6,57.0,DEBUG, Fixed local test errors in Order.removeMenuItem(),Implementation,ImplementationTesting,True,ImplementationTesting,debugging,Team P2,mixed,1,1,[debugging]
22719,fjxqzfuipg,F,csc216-T-P2-07,2020-11-01 22:08:40,[Debug] Changed exception that is thrown in SortedList.add(element) to an IllegalArgumentException instead of a NullPointerException,2.0,0.0,11.0,0.0,6,132.0,DEBUG, Changed exception that is thrown in SortedList.add(element) to an IllegalArgumentException instead of a NullPointerException,Implementation,Misc,False,Implementation,debugging,Team P2,mixed,1,1,[debugging]
22712,fjxqzfuipg,F,csc216-T-P2-07,2020-11-01 22:40:50,[Debug] Attempting to fix error in Order.removeMenuItem(),2.0,0.0,10.0,0.0,6,57.0,DEBUG, Attempting to fix error in Order.removeMenuItem(),Implementation,Implementation,True,Implementation,debugging,Team P2,mixed,1,1,[debugging]
22729,fjxqzfuipg,F,csc216-T-P2-07,2020-11-01 21:09:33,[Debug] Attempting to fix bug in Order.removeMenuItem(),2.0,0.0,11.0,0.0,6,55.0,DEBUG, Attempting to fix bug in Order.removeMenuItem(),Implementation,Implementation,True,Implementation,debugging,Team P2,mixed,1,1,[debugging]
22731,fjxqzfuipg,F,csc216-T-P2-07,2020-11-01 21:00:40,[Debug] Attempting to fix bug in Order.getOrderItemIndexForMenuItem(),2.0,0.0,11.0,0.0,6,69.0,DEBUG, Attempting to fix bug in Order.getOrderItemIndexForMenuItem(),Implementation,Implementation,True,Implementation,debugging,Team P2,mixed,1,1,[debugging]
22748,fjxqzfuipg,F,csc216-T-P2-07,2020-10-28 03:17:46,[Implementation] Finished implementation of Order class,25.0,0.0,23.0,0.0,2,55.0,IMPLEMENTATION, Finished implementation of Order class,Implementation,Implementation,True,Implementation,implementation,Team P2,mixed,1,1,[implementation]
22747,fjxqzfuipg,F,csc216-T-P2-07,2020-10-28 03:19:55,[Implementation] Finished Implementation of SortedList and UniqueList classes,25.0,0.0,23.0,0.0,2,77.0,IMPLEMENTATION, Finished Implementation of SortedList and UniqueList classes,Implementation,Implementation,True,Implementation,implementation,Team P2,mixed,1,1,[implementation]
22746,fjxqzfuipg,F,csc216-T-P2-07,2020-10-28 03:48:30,[Implementation] Implemented HLOJDataWriter class,25.0,0.0,23.0,0.0,2,49.0,IMPLEMENTATION, Implemented HLOJDataWriter class,Implementation,Implementation,True,Implementation,implementation,Team P2,mixed,1,1,[implementation]
22745,fjxqzfuipg,F,csc216-T-P2-07,2020-10-28 03:58:54,[Debug] Fixed checkstyle errors in implemented classes,25.0,0.0,24.0,0.0,2,54.0,DEBUG, Fixed checkstyle errors in implemented classes,Implementation,ImplementationStyling,True,ImplementationStyling,debugging,Team P2,mixed,1,1,[debugging]
22744,fjxqzfuipg,F,csc216-T-P2-07,2020-10-28 15:48:16,[Implementation] Implemented HLOJDataReader class,25.0,0.0,24.0,0.0,2,49.0,IMPLEMENTATION, Implemented HLOJDataReader class,Implementation,Implementation,True,Implementation,implementation,Team P2,mixed,1,1,[implementation]
22743,fjxqzfuipg,F,csc216-T-P2-07,2020-10-28 17:09:02,[Implementation] Implemented UniqueLists into HLOJDataWriter,25.0,0.0,24.0,0.0,2,60.0,IMPLEMENTATION, Implemented UniqueLists into HLOJDataWriter,Implementation,Implementation,True,Implementation,implementation,Team P2,mixed,1,1,[implementation]
22742,fjxqzfuipg,F,csc216-T-P2-07,2020-10-29 15:24:15,[Debug] Added statement to increment size in SortedList.add() when front is null and an element is added,25.0,0.0,23.0,0.0,3,104.0,DEBUG, Added statement to increment size in SortedList.add() when front is null and an element is added,Implementation,Misc,False,Implementation,debugging,Team P2,mixed,1,1,[debugging]
22741,fjxqzfuipg,F,csc216-T-P2-07,2020-10-29 16:30:10,[Debug] Fixed sorting issue in SortedList.add(),25.0,0.0,23.0,0.0,3,47.0,DEBUG, Fixed sorting issue in SortedList.add(),Implementation,Implementation,True,Implementation,debugging,Team P2,mixed,1,1,[debugging]
